idno,cntry,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,anctry1,anctry2
10002,BG,3.0,3.0,3.0,2.4,2.0,2.0,Bulgarian nfs,No second ancestry* 
10006,BG,1.0,2.0,2.0,0.9000000000000004,5.0,4.0,Bulgarian nfs,No second ancestry* 
10009,BG,1.0,3.0,2.0,1.2000000000000002,7.0,6.0,Bulgarian nfs,No second ancestry* 
10027,BG,1.0,3.0,4.0,1.7999999999999998,5.0,3.0,Bulgarian nfs,No second ancestry* 
10048,BG,1.0,2.0,2.0,1.5,5.0,5.0,Bulgarian nfs,No second ancestry* 
10053,BG,2.0,3.0,3.0,1.7999999999999998,5.0,4.0,Bulgarian nfs,No second ancestry* 
10055,BG,2.0,2.0,2.0,1.5,5.0,5.0,Bulgarian nfs,No second ancestry* 
10059,BG,1.0,2.0,2.0,0.9000000000000004,7.0,7.0,Bulgarian nfs,No second ancestry* 
10061,BG,4.0,4.0,4.0,2.7,1.0,0.0,Turkish diaspora/ethnic Turk,No second ancestry* 
10064,BG,2.0,3.0,2.0,1.7999999999999998,4.0,5.0,Bulgarian nfs,No second ancestry* 
10068,BG,1.0,1.0,1.0,0.0,10.0,10.0,Bulgarian nfs,No second ancestry* 
10071,BG,1.0,4.0,4.0,1.5,1.0,1.0,Bulgarian nfs,No second ancestry* 
10077,BG,3.0,3.0,3.0,1.5,5.0,5.0,Bulgarian nfs,No second ancestry* 
10078,BG,1.0,2.0,3.0,1.5,7.0,5.0,Bulgarian nfs,No second ancestry* 
10079,BG,3.0,3.0,3.0,2.4,2.0,3.0,Bulgarian nfs,No second ancestry* 
10081,BG,2.0,3.0,2.0,1.2000000000000002,6.0,6.0,Bulgarian nfs,No second ancestry* 
10088,BG,1.0,2.0,2.0,0.9000000000000004,7.0,7.0,Bulgarian nfs,No second ancestry* 
10090,BG,3.0,4.0,4.0,1.7999999999999998,5.0,4.0,Bulgarian nfs,No second ancestry* 
10104,BG,1.0,2.0,3.0,1.2000000000000002,7.0,6.0,Bulgarian nfs,No second ancestry* 
10107,BG,3.0,3.0,3.0,2.7,1.0,2.0,Bulgarian nfs,No second ancestry* 
10130,BG,1.0,2.0,3.0,0.5999999999999996,8.0,8.0,Bulgarian nfs,No second ancestry* 
10133,BG,1.0,1.0,3.0,1.2000000000000002,7.0,5.0,Bulgarian nfs,No second ancestry* 
10134,BG,2.0,2.0,3.0,0.9000000000000004,7.0,9.0,Bulgarian nfs,No second ancestry* 
10136,BG,4.0,4.0,4.0,3.0,0.0,0.0,Bulgarian nfs,No second ancestry* 
10141,BG,1.0,3.0,3.0,2.1,8.0,5.0,Bulgarian nfs,No second ancestry* 
10146,BG,2.0,2.0,2.0,1.2000000000000002,5.0,6.0,Bulgarian nfs,No second ancestry* 
10149,BG,3.0,3.0,4.0,2.1,3.0,3.0,Bulgarian nfs,No second ancestry* 
10156,BG,1.0,3.0,3.0,0.0,5.0,5.0,Bulgarian nfs,No second ancestry* 
10176,BG,3.0,4.0,3.0,3.0,3.0,1.0,Bulgarian nfs,No second ancestry* 
10180,BG,1.0,1.0,1.0,1.2000000000000002,7.0,7.0,Bulgarian nfs,No second ancestry* 
10182,BG,1.0,3.0,3.0,0.5999999999999996,7.0,8.0,Bulgarian nfs,No second ancestry* 
10187,BG,1.0,1.0,1.0,0.9000000000000004,8.0,6.0,Bulgarian nfs,No second ancestry* 
10203,BG,2.0,2.0,2.0,1.5,5.0,6.0,Bulgarian nfs,No second ancestry* 
10206,BG,1.0,1.0,1.0,0.5999999999999996,10.0,8.0,Bulgarian nfs,No second ancestry* 
10212,BG,1.0,2.0,2.0,2.1,5.0,5.0,Bulgarian nfs,No second ancestry* 
10213,BG,2.0,2.0,4.0,1.5,4.0,5.0,Bulgarian nfs,Bulgarian Muslim
10215,BG,2.0,2.0,3.0,1.5,5.0,5.0,Bulgarian nfs,No second ancestry* 
10220,BG,3.0,3.0,3.0,1.5,6.0,5.0,Bulgarian nfs,No second ancestry* 
10223,BG,2.0,2.0,2.0,1.7999999999999998,4.0,5.0,Bulgarian nfs,No second ancestry* 
10225,BG,2.0,3.0,3.0,1.5,5.0,5.0,Bulgarian nfs,No second ancestry* 
10245,BG,1.0,1.0,1.0,0.0,8.0,10.0,Bulgarian nfs,No second ancestry* 
10249,BG,2.0,3.0,4.0,1.5,5.0,5.0,Bulgarian nfs,No second ancestry* 
10271,BG,1.0,2.0,2.0,0.9000000000000004,7.0,8.0,Bulgarian nfs,No second ancestry* 
10273,BG,1.0,3.0,3.0,0.9000000000000004,8.0,6.0,Bulgarian nfs,No second ancestry* 
10280,BG,2.0,2.0,2.0,1.2000000000000002,6.0,6.0,Bulgarian nfs,No second ancestry* 
10283,BG,1.0,1.0,1.0,0.0,10.0,10.0,Roma/Gypsy/Sinti,No second ancestry* 
10288,BG,1.0,3.0,3.0,1.7999999999999998,2.0,3.0,Bulgarian nfs,No second ancestry* 
10295,BG,4.0,4.0,4.0,1.5,5.0,5.0,Bulgarian nfs,Bulgarian Muslim
10297,BG,1.0,1.0,2.0,0.2999999999999998,8.0,7.0,Bulgarian nfs,No second ancestry* 
10304,BG,3.0,3.0,4.0,2.1,2.0,3.0,Bulgarian nfs,No second ancestry* 
10312,BG,2.0,4.0,4.0,1.5,3.0,4.0,Bulgarian nfs,No second ancestry* 
10313,BG,3.0,4.0,4.0,1.7999999999999998,5.0,2.0,Bulgarian nfs,No second ancestry* 
10314,BG,2.0,2.0,2.0,2.1,3.0,4.0,Bulgarian nfs,No second ancestry* 
10318,BG,2.0,3.0,3.0,1.5,5.0,5.0,Bulgarian nfs,No second ancestry* 
10322,BG,1.0,2.0,3.0,1.7999999999999998,4.0,5.0,Bulgarian nfs,No second ancestry* 
