country_code,date,indicator_value,country_id,country_value,gdp
AFE,2021,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,549.77"
AFE,2020,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,363.54"
AFE,2019,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,512.27"
AFE,2018,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,564.73"
AFE,2017,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,628.59"
AFE,2016,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,443.69"
AFE,2015,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,538.55"
AFE,2014,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,719.18"
AFE,2013,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,730.39"
AFE,2012,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,759.18"
AFE,2011,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,792.91"
AFE,2010,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,643.61"
AFE,2009,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,411.62"
AFE,2008,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,428.38"
AFE,2007,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,369.86"
AFE,2006,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,226.22"
AFE,2005,GDP per capita (current US$),ZH,Africa Eastern and Southern,"$1,120.48"
AFE,2004,GDP per capita (current US$),ZH,Africa Eastern and Southern,$985.56
AFE,2003,GDP per capita (current US$),ZH,Africa Eastern and Southern,$812.97
AFE,2002,GDP per capita (current US$),ZH,Africa Eastern and Southern,$626.58
AFE,2001,GDP per capita (current US$),ZH,Africa Eastern and Southern,$628.23
AFE,2000,GDP per capita (current US$),ZH,Africa Eastern and Southern,$707.02
AFE,1999,GDP per capita (current US$),ZH,Africa Eastern and Southern,$669.71
AFE,1998,GDP per capita (current US$),ZH,Africa Eastern and Southern,$696.40
AFE,1997,GDP per capita (current US$),ZH,Africa Eastern and Southern,$757.88
AFE,1996,GDP per capita (current US$),ZH,Africa Eastern and Southern,$739.49
AFE,1995,GDP per capita (current US$),ZH,Africa Eastern and Southern,$762.87
AFE,1994,GDP per capita (current US$),ZH,Africa Eastern and Southern,$697.21
AFE,1993,GDP per capita (current US$),ZH,Africa Eastern and Southern,$704.77
AFE,1992,GDP per capita (current US$),ZH,Africa Eastern and Southern,$728.79
AFE,1991,GDP per capita (current US$),ZH,Africa Eastern and Southern,$858.33
AFE,1990,GDP per capita (current US$),ZH,Africa Eastern and Southern,$817.18
AFE,1989,GDP per capita (current US$),ZH,Africa Eastern and Southern,$722.45
AFE,1988,GDP per capita (current US$),ZH,Africa Eastern and Southern,$697.24
AFE,1987,GDP per capita (current US$),ZH,Africa Eastern and Southern,$654.34
AFE,1986,GDP per capita (current US$),ZH,Africa Eastern and Southern,$552.55
AFE,1985,GDP per capita (current US$),ZH,Africa Eastern and Southern,$508.71
AFE,1984,GDP per capita (current US$),ZH,Africa Eastern and Southern,$615.43
AFE,1983,GDP per capita (current US$),ZH,Africa Eastern and Southern,$692.01
AFE,1982,GDP per capita (current US$),ZH,Africa Eastern and Southern,$681.67
AFE,1981,GDP per capita (current US$),ZH,Africa Eastern and Southern,$732.94
AFE,1980,GDP per capita (current US$),ZH,Africa Eastern and Southern,$738.90
AFE,1979,GDP per capita (current US$),ZH,Africa Eastern and Southern,$600.39
AFE,1978,GDP per capita (current US$),ZH,Africa Eastern and Southern,$530.39
AFE,1977,GDP per capita (current US$),ZH,Africa Eastern and Southern,$489.86
AFE,1976,GDP per capita (current US$),ZH,Africa Eastern and Southern,$444.09
AFE,1975,GDP per capita (current US$),ZH,Africa Eastern and Southern,$459.91
AFE,1974,GDP per capita (current US$),ZH,Africa Eastern and Southern,$444.73
AFE,1973,GDP per capita (current US$),ZH,Africa Eastern and Southern,$370.43
AFE,1972,GDP per capita (current US$),ZH,Africa Eastern and Southern,$293.09
AFE,1971,GDP per capita (current US$),ZH,Africa Eastern and Southern,$278.76
AFE,1970,GDP per capita (current US$),ZH,Africa Eastern and Southern,$260.12
AFE,1969,GDP per capita (current US$),ZH,Africa Eastern and Southern,$249.59
AFE,1968,GDP per capita (current US$),ZH,Africa Eastern and Southern,$224.24
AFE,1967,GDP per capita (current US$),ZH,Africa Eastern and Southern,$211.71
AFE,1966,GDP per capita (current US$),ZH,Africa Eastern and Southern,$209.41
AFE,1965,GDP per capita (current US$),ZH,Africa Eastern and Southern,$198.23
AFE,1964,GDP per capita (current US$),ZH,Africa Eastern and Southern,$179.39
AFE,1963,GDP per capita (current US$),ZH,Africa Eastern and Southern,$199.19
AFE,1962,GDP per capita (current US$),ZH,Africa Eastern and Southern,$172.00
AFE,1961,GDP per capita (current US$),ZH,Africa Eastern and Southern,$162.55
AFE,1960,GDP per capita (current US$),ZH,Africa Eastern and Southern,$162.91
AFW,2021,GDP per capita (current US$),ZI,Africa Western and Central,"$1,757.03"
AFW,2020,GDP per capita (current US$),ZI,Africa Western and Central,"$1,683.44"
AFW,2019,GDP per capita (current US$),ZI,Africa Western and Central,"$1,749.30"
AFW,2018,GDP per capita (current US$),ZI,Africa Western and Central,"$1,731.31"
AFW,2017,GDP per capita (current US$),ZI,Africa Western and Central,"$1,585.91"
AFW,2016,GDP per capita (current US$),ZI,Africa Western and Central,"$1,645.02"
AFW,2015,GDP per capita (current US$),ZI,Africa Western and Central,"$1,876.62"
AFW,2014,GDP per capita (current US$),ZI,Africa Western and Central,"$2,243.27"
AFW,2013,GDP per capita (current US$),ZI,Africa Western and Central,"$2,149.30"
AFW,2012,GDP per capita (current US$),ZI,Africa Western and Central,"$1,953.41"
AFW,2011,GDP per capita (current US$),ZI,Africa Western and Central,"$1,856.69"
AFW,2010,GDP per capita (current US$),ZI,Africa Western and Central,"$1,675.74"
AFW,2009,GDP per capita (current US$),ZI,Africa Western and Central,"$1,463.39"
AFW,2008,GDP per capita (current US$),ZI,Africa Western and Central,"$1,681.48"
AFW,2007,GDP per capita (current US$),ZI,Africa Western and Central,"$1,417.61"
AFW,2006,GDP per capita (current US$),ZI,Africa Western and Central,"$1,241.85"
AFW,2005,GDP per capita (current US$),ZI,Africa Western and Central,"$1,000.87"
AFW,2004,GDP per capita (current US$),ZI,Africa Western and Central,$841.36
AFW,2003,GDP per capita (current US$),ZI,Africa Western and Central,$697.91
AFW,2002,GDP per capita (current US$),ZI,Africa Western and Central,$619.77
AFW,2001,GDP per capita (current US$),ZI,Africa Western and Central,$529.58
AFW,2000,GDP per capita (current US$),ZI,Africa Western and Central,$520.79
AFW,1999,GDP per capita (current US$),ZI,Africa Western and Central,$524.10
AFW,1998,GDP per capita (current US$),ZI,Africa Western and Central,$509.26
AFW,1997,GDP per capita (current US$),ZI,Africa Western and Central,$510.89
AFW,1996,GDP per capita (current US$),ZI,Africa Western and Central,$519.25
AFW,1995,GDP per capita (current US$),ZI,Africa Western and Central,$458.83
AFW,1994,GDP per capita (current US$),ZI,Africa Western and Central,$375.67
AFW,1993,GDP per capita (current US$),ZI,Africa Western and Central,$441.61
AFW,1992,GDP per capita (current US$),ZI,Africa Western and Central,$542.66
AFW,1991,GDP per capita (current US$),ZI,Africa Western and Central,$553.59
AFW,1990,GDP per capita (current US$),ZI,Africa Western and Central,$589.16
AFW,1989,GDP per capita (current US$),ZI,Africa Western and Central,$505.33
AFW,1988,GDP per capita (current US$),ZI,Africa Western and Central,$555.92
AFW,1987,GDP per capita (current US$),ZI,Africa Western and Central,$578.33
AFW,1986,GDP per capita (current US$),ZI,Africa Western and Central,$578.81
AFW,1985,GDP per capita (current US$),ZI,Africa Western and Central,$644.34
AFW,1984,GDP per capita (current US$),ZI,Africa Western and Central,$649.02
AFW,1983,GDP per capita (current US$),ZI,Africa Western and Central,$805.02
AFW,1982,GDP per capita (current US$),ZI,Africa Western and Central,"$1,120.58"
AFW,1981,GDP per capita (current US$),ZI,Africa Western and Central,"$1,299.90"
AFW,1980,GDP per capita (current US$),ZI,Africa Western and Central,$709.84
AFW,1979,GDP per capita (current US$),ZI,Africa Western and Central,$577.54
AFW,1978,GDP per capita (current US$),ZI,Africa Western and Central,$477.19
AFW,1977,GDP per capita (current US$),ZI,Africa Western and Central,$450.07
AFW,1976,GDP per capita (current US$),ZI,Africa Western and Central,$439.83
AFW,1975,GDP per capita (current US$),ZI,Africa Western and Central,$374.01
AFW,1974,GDP per capita (current US$),ZI,Africa Western and Central,$330.07
AFW,1973,GDP per capita (current US$),ZI,Africa Western and Central,$239.53
AFW,1972,GDP per capita (current US$),ZI,Africa Western and Central,$198.37
AFW,1971,GDP per capita (current US$),ZI,Africa Western and Central,$167.55
AFW,1970,GDP per capita (current US$),ZI,Africa Western and Central,$193.57
AFW,1969,GDP per capita (current US$),ZI,Africa Western and Central,$142.33
AFW,1968,GDP per capita (current US$),ZI,Africa Western and Central,$128.37
AFW,1967,GDP per capita (current US$),ZI,Africa Western and Central,$127.30
AFW,1966,GDP per capita (current US$),ZI,Africa Western and Central,$142.90
AFW,1965,GDP per capita (current US$),ZI,Africa Western and Central,$137.19
AFW,1964,GDP per capita (current US$),ZI,Africa Western and Central,$130.60
AFW,1963,GDP per capita (current US$),ZI,Africa Western and Central,$122.28
AFW,1962,GDP per capita (current US$),ZI,Africa Western and Central,$117.73
AFW,1961,GDP per capita (current US$),ZI,Africa Western and Central,$112.05
AFW,1960,GDP per capita (current US$),ZI,Africa Western and Central,$106.98
ARB,2021,GDP per capita (current US$),1A,Arab World,"$6,271.32"
ARB,2020,GDP per capita (current US$),1A,Arab World,"$5,545.46"
ARB,2019,GDP per capita (current US$),1A,Arab World,"$6,384.07"
ARB,2018,GDP per capita (current US$),1A,Arab World,"$6,474.30"
ARB,2017,GDP per capita (current US$),1A,Arab World,"$6,132.43"
ARB,2016,GDP per capita (current US$),1A,Arab World,"$6,062.68"
ARB,2015,GDP per capita (current US$),1A,Arab World,"$6,245.79"
ARB,2014,GDP per capita (current US$),1A,Arab World,"$7,276.43"
ARB,2013,GDP per capita (current US$),1A,Arab World,"$7,307.37"
ARB,2012,GDP per capita (current US$),1A,Arab World,"$7,327.27"
ARB,2011,GDP per capita (current US$),1A,Arab World,"$6,826.52"
ARB,2010,GDP per capita (current US$),1A,Arab World,"$6,385.36"
ARB,2009,GDP per capita (current US$),1A,Arab World,"$5,562.25"
ARB,2008,GDP per capita (current US$),1A,Arab World,"$6,501.83"
ARB,2007,GDP per capita (current US$),1A,Arab World,"$5,303.84"
ARB,2006,GDP per capita (current US$),1A,Arab World,"$4,679.88"
ARB,2005,GDP per capita (current US$),1A,Arab World,"$4,048.85"
ARB,2004,GDP per capita (current US$),1A,Arab World,"$3,371.90"
ARB,2003,GDP per capita (current US$),1A,Arab World,"$2,896.05"
ARB,2002,GDP per capita (current US$),1A,Arab World,"$2,676.91"
ARB,2001,GDP per capita (current US$),1A,Arab World,"$2,720.52"
ARB,2000,GDP per capita (current US$),1A,Arab World,"$2,842.62"
ARB,1999,GDP per capita (current US$),1A,Arab World,"$2,539.94"
ARB,1998,GDP per capita (current US$),1A,Arab World,"$2,348.94"
ARB,1997,GDP per capita (current US$),1A,Arab World,"$2,469.87"
ARB,1996,GDP per capita (current US$),1A,Arab World,"$2,344.66"
ARB,1995,GDP per capita (current US$),1A,Arab World,"$2,173.77"
ARB,1994,GDP per capita (current US$),1A,Arab World,"$2,034.35"
ARB,1993,GDP per capita (current US$),1A,Arab World,"$1,986.74"
ARB,1992,GDP per capita (current US$),1A,Arab World,"$2,002.60"
ARB,1991,GDP per capita (current US$),1A,Arab World,"$2,042.67"
ARB,1990,GDP per capita (current US$),1A,Arab World,"$2,850.82"
ARB,1989,GDP per capita (current US$),1A,Arab World,"$2,081.18"
ARB,1988,GDP per capita (current US$),1A,Arab World,"$1,990.58"
ARB,1987,GDP per capita (current US$),1A,Arab World,"$2,119.38"
ARB,1986,GDP per capita (current US$),1A,Arab World,"$2,015.61"
ARB,1985,GDP per capita (current US$),1A,Arab World,"$2,140.77"
ARB,1984,GDP per capita (current US$),1A,Arab World,"$2,239.66"
ARB,1983,GDP per capita (current US$),1A,Arab World,"$2,270.02"
ARB,1982,GDP per capita (current US$),1A,Arab World,"$2,486.90"
ARB,1981,GDP per capita (current US$),1A,Arab World,"$2,738.14"
ARB,1980,GDP per capita (current US$),1A,Arab World,"$2,741.74"
ARB,1979,GDP per capita (current US$),1A,Arab World,"$2,090.09"
ARB,1978,GDP per capita (current US$),1A,Arab World,"$1,589.30"
ARB,1977,GDP per capita (current US$),1A,Arab World,"$1,493.66"
ARB,1976,GDP per capita (current US$),1A,Arab World,"$1,338.81"
ARB,1975,GDP per capita (current US$),1A,Arab World,"$1,113.95"
ARB,1974,GDP per capita (current US$),1A,Arab World,"$1,039.62"
ARB,1973,GDP per capita (current US$),1A,Arab World,$564.75
ARB,1972,GDP per capita (current US$),1A,Arab World,$458.17
ARB,1971,GDP per capita (current US$),1A,Arab World,$395.63
ARB,1970,GDP per capita (current US$),1A,Arab World,$352.31
ARB,1969,GDP per capita (current US$),1A,Arab World,$320.53
ARB,1968,GDP per capita (current US$),1A,Arab World,$302.60
ARB,1967,GDP per capita (current US$),1A,Arab World,$nan
ARB,1966,GDP per capita (current US$),1A,Arab World,$nan
ARB,1965,GDP per capita (current US$),1A,Arab World,$nan
ARB,1964,GDP per capita (current US$),1A,Arab World,$nan
ARB,1963,GDP per capita (current US$),1A,Arab World,$nan
ARB,1962,GDP per capita (current US$),1A,Arab World,$nan
ARB,1961,GDP per capita (current US$),1A,Arab World,$nan
ARB,1960,GDP per capita (current US$),1A,Arab World,$nan
CSS,2021,GDP per capita (current US$),S3,Caribbean small states,"$10,063.69"
CSS,2020,GDP per capita (current US$),S3,Caribbean small states,"$8,851.42"
CSS,2019,GDP per capita (current US$),S3,Caribbean small states,"$10,429.33"
